IGSN,siteID,Collection.date,Location,Aspect,Lithology,Site,Position,Combined,top_depth_cm,bottom_depth_cm,meandepth,avg depth_cm,Microbial_biomass_ug_C_g_dry_soil,soil_moisture_perc,ug_NH4_N_g_dry_soil_initial,ug_NO3_N_g_dry_soil_initial,Net_Mineralization_ug_NO3_NH4_g_soil_day,Net_Nitrification_ug_NO3_g_soil_day
IECZM00G3,RC_NB_R_000_010_20220830,8/30/2022,RC,N,B,NB,R,NBR,0,10,5,5,186.3395573,8.205310363,0.824931757,0.273598336,-0.065286254,-0.03707709
IECZM00G4,RC_NB_R_010_020_20220830,8/30/2022,RC,N,B,NB,R,NBR,10,20,-15,15,192.8324211,13.70990237,1.1298954,0.762002217,0.60111445,0.661947484
IECZM00FX,RC_SWB_R_000_010_20220830,8/30/2022,RC,SW,B,SWB,R,SWBR,0,10,-5,5,197.746784,5.855750487,1.152964663,1.978361764,0.537104898,0.583110827
IECZM00FY,RC_SWB_R_010_020_20220830,8/30/2022,RC,SW,B,SWB,R,SWBR,10,20,-15,15,124.6679634,14.02235035,1.367206081,1.829615601,0.195974306,0.286901121
IECZM00G1,RC_SWB_T_001_010_20220830,8/30/2022,RC,SW,B,SWB,T,SWBT,0,10,-5,5,90.19161596,5.157131346,1.214088185,0.348360555,0.080111559,0.099411278
IECZM00G2,RC_SWB_T_010_020_20220830,8/30/2022,RC,SW,B,SWB,T,SWBT,10,20,-15,15,84.78547631,9.721037885,0.915566746,3.864716192,0.50554948,0.493025657
IECZM00G5,RC_NB_T_000_010_20220830,8/30/2022,RC,N,B,NB,T,NBT,0,10,-5,5,152.0866485,5.949831753,0.981671178,0.638036363,-0.119901943,-0.072906738
IECZM00G6,RC_NB_T_010_020_20220830,8/30/2022,RC,N,B,NB,T,NBT,10,20,-15,15,137.3466463,8.749447636,1.506593587,2.735172138,0.735029158,0.830239727
IECZM00FZ,RC_SWB_M_000_010_20220830,8/30/2022,RC,SW,B,SWB,M,SWBM,0,10,-5,5,131.7511828,6.414662085,0.832808187,0.302913403,-0.023635002,0.004945421
IECZM00G0,RC_SWB_M_010_020_20220830,8/30/2022,RC,SW,B,SWB,M,SWBM,10,20,-15,15,53.93628253,13.96319018,0.619168309,0.360732972,0.739351574,0.710210121
IECZM00G7,RC_NL_M_000_010_20220830,8/30/2022,RC,N,L,NL,M,NLM,0,10,-5,5,429.718477,24.20097697,1.206354451,0.550745802,0.639925884,0.667863645
IECZM00G8,RC_NL_M_010_020_20220830,8/30/2022,RC,N,L,NL,M,NLM,10,20,-15,15,154.9393525,22.41890823,1.484738251,4.50413078,0.449400301,0.480666108
IECZM00G9,RC_NL_M_020_030_20220830,8/30/2022,RC,N,L,NL,M,NLM,20,30,-25,25,157.2286757,25.0889034,0.839335599,0.337015977,-0.019191912,0.001993037
IECZM00GA,RC_NL_M_020_040_20220830,8/30/2022,RC,N,L,NL,M,NLM,30,40,-35,35,147.4574527,27.33169705,0.798385671,0.349364844,2.199832716,2.175381378
IECZM00GB,RC_NL_M_040_050_20220830,8/30/2022,RC,N,L,NL,M,NLM,40,50,-45,45,113.4824897,28.83942457,0.590239923,0.354683921,-0.008508147,0.001030088
IECZM00GC,RC_NL_M_050_060_20220830,8/30/2022,RC,N,L,NL,M,NLM,50,60,-55,55,127.0268895,29.00415358,1.28975873,0.35316039,-0.004530697,-9.39E-05
IECZM00GD,RC_NL_M_060_070_20220830,8/30/2022,RC,N,L,NL,M,NLM,60,70,-65,65,60.89384821,30.11201406,1.162817075,0.36247601,0.008397546,0.013025163
IECZM00GE,RC_NL_M_070_080_20220830,8/30/2022,RC,N,L,NL,M,NLM,70,80,-75,75,99.32837304,31.39455003,1.245758801,2.096497061,0.194167603,0.163282135
IECZM00GF,RC_NL_M_080_090_20220830,8/30/2022,RC,N,L,NL,M,NLM,80,90,-85,85,91.88938227,31.16605355,1.10097271,0.351258042,0.169686671,0.18596607
IECZM00GG,RC_NL_M_090_100_20220830,8/30/2022,RC,N,L,NL,M,NLM,90,100,-95,95,92.01526381,31.66931904,1.054946883,0.351861969,-0.079499047,0.001888599
IECZM00GH,RC_NL_M_100_110_20220830,8/30/2022,RC,N,L,NL,M,NLM,100,110,-105,105,83.20130606,32.98113208,1.009423996,0.696652496,0.386705553,0.337786178
IECZM00GI,RC_NL_M_110_120_20220830,8/30/2022,RC,N,L,NL,M,NLM,110,120,-115,115,66.12702553,33.19385141,3.902018593,33.35320787,1.312267941,1.351769174
IECZM00GJ,RC_NL_M_120_130_20220830,8/30/2022,RC,N,L,NL,M,NLM,120,130,-125,125,54.2036424,32.53663395,3.00215685,14.73408451,0.472157445,0.524366245
IECZM00GK,RC_NL_M_130_140_20220830,8/30/2022,RC,N,L,NL,M,NLM,130,140,-135,135,22.68514194,32.15431567,5.93859145,49.21678423,0.658430757,0.68099153
IECZM00GL,RC_NL_M_140_150_20220830,8/30/2022,RC,N,L,NL,M,NLM,140,150,-145,145,-3.307719114,32.28116176,0.992261136,0.337092735,-0.027549597,0.003125699
IECZM00GM,RC_NL_M_150_160_20220830,8/30/2022,RC,N,L,NL,M,NLM,150,160,-155,155,5.552813767,31.42011089,1.247675388,0.347785105,0.413323436,0.40570191
IECZM00GN,RC_NL_M_160_170_20220830,8/30/2022,RC,N,L,NL,M,NLM,160,170,-165,165,17.39164824,29.62102001,1.293185167,1.349826019,0.087034851,0.1381869
IECZM00GP,RC_NL_T_000_010_20220830,8/30/2022,RC,N,L,NL,T,NLT,0,10,-5,5,337.9652529,12.40633395,0.712567862,0.652474115,0.114377716,0.111112769
IECZM00GQ,RC_NL_T_010_020_20220830,8/30/2022,RC,N,L,NL,T,NLT,10,20,-15,15,170.1184598,13.09594629,1.114769786,3.293661339,-0.169619835,-0.117708089
IECZM00GR,RC_NL_T_020_030_20220830,8/30/2022,RC,N,L,NL,T,NLT,20,30,-25,25,187.4768195,12.66028648,0.572628043,0.353940238,-0.032013618,-0.000877782
IECZM00GS,RC_NL_T_030_040_20220830,8/30/2022,RC,N,L,NL,T,NLT,30,40,-35,35,145.4418674,13.1351626,1.068728745,0.574481944,1.379329653,1.406592442
IECZM00GT,RC_NL_T_040_050_20220830,8/30/2022,RC,N,L,NL,T,NLT,40,50,-45,45,149.9917763,13.40856522,0.671856455,0.347541621,0.020218301,0.003465125
IECZM00GU,RC_NL_T_050_060_20220830,8/30/2022,RC,N,L,NL,T,NLT,50,60,-55,55,171.9445958,13.30636423,0.92261726,0.344137903,0.303633424,0.309936181
IECZM00GV,RC_NL_T_060_070_20220830,8/30/2022,RC,N,L,NL,T,NLT,60,70,-65,65,147.0398483,13.62665528,0.782384343,0.349332334,-0.030165669,0.001081064
IECZM00GW,RC_NL_T_070_080_20220830,8/30/2022,RC,N,L,NL,T,NLT,70,80,-75,75,90.76916407,13.81713555,1.389669331,0.350068577,-0.072407621,0.00255626
IECZM00GX,RC_NL_T_080_090_20220830,8/30/2022,RC,N,L,NL,T,NLT,80,90,-85,85,78.44227838,14.13938681,1.029786187,1.041015365,0.231356303,0.304938858
IECZM00GY,RC_NL_T_090_100_20220830,8/30/2022,RC,N,L,NL,T,NLT,90,100,-95,95,53.55811911,14.67260384,0.996867989,1.471381508,0.575465518,0.515398351
IECZM00GZ,RC_NL_T_100_110_20220830,8/30/2022,RC,N,L,NL,T,NLT,100,110,-105,105,87.66522993,14.75238923,4.170261341,30.55055801,0.78104887,0.854067737
IECZM00H0,RC_NL_T_110_120_20220830,8/30/2022,RC,N,L,NL,T,NLT,110,120,-115,115,62.04861393,15.24150682,0.94823849,0.366162423,0.540759663,0.587732904
IECZM00H1,RC_NL_T_120_130_20220830,8/30/2022,RC,N,L,NL,T,NLT,120,130,-125,125,28.77151133,14.82909278,1.125546167,0.350563039,1.463307771,1.540365214
IECZM00H2,RC_NL_T_130_140_20220830,8/30/2022,RC,N,L,NL,T,NLT,130,140,-135,135,26.56817263,14.42987457,0.947857417,0.369212791,0.66307615,0.723217024
IECZM00H3,RC_NL_T_140_150_20220830,8/30/2022,RC,N,L,NL,T,NLT,140,150,-145,145,29.63953689,14.18325341,1.172687955,14.05389998,1.483099511,1.500435019
IECZM00H4,RC_NL_T_150_160_20220830,8/30/2022,RC,N,L,NL,T,NLT,150,160,-155,155,18.32084931,15.45414704,0.945831339,26.3551245,0.435001687,0.415907133
IECZM00H5,RC_NL_T_160_170_20220830,8/30/2022,RC,N,L,NL,T,NLT,160,170,-165,165,32.44705474,13.7128745,0.829799697,0.378109491,-0.045063249,-0.001990551
IECZM00H6,RC_SWL_T_000_010_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,0,10,-5,5,287.9991914,14.24847251,1.075755187,0.356669778,-0.046229041,-0.003410419
IECZM00H7,RC_SWL_T_010_020_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,10,20,-15,15,179.2264749,16.39331398,0.824409354,0.359666489,-0.029252918,-0.003327117
IECZM00H8,RC_SWL_T_020_030_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,20,30,-25,25,164.5250055,17.19563146,1.769028625,0.347922445,-0.122744665,-0.027031041
IECZM00H9,RC_SWL_T_030_040_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,30,40,-35,35,103.6318121,17.23950139,1.086251984,2.180509512,-0.179625246,-0.182721921
IECZM00HA,RC_SWL_T_040_050_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,40,50,-45,45,110.3142968,17.93321819,1.23346027,2.463562953,2.156059977,2.243417976
IECZM00HB,RC_SWL_T_050_060_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,50,60,-55,55,80.66027966,18.04989018,0.882024771,0.159871805,1.363832706,1.326344985
IECZM00HC,RC_SWL_T_060_070_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,60,70,-65,65,108.1087645,17.5453231,0.857536394,20.16040466,2.006283279,1.698963567
IECZM00HD,RC_SWL_T_0870_080_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,70,80,-75,75,72.98893034,17.35271275,2.042309263,5.556649891,NA,NA
IECZM00HE,RC_SWL_T_080_090_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,80,90,-85,85,77.4687034,16.73598164,4.0005892,18.88619385,0.265959087,0.244187716
IECZM00HF,RC_SWL_T_090_100_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,90,100,-95,95,114.9124971,16.74505193,3.401471087,11.68628458,0.709258918,0.711399364
IECZM00HG,RC_SWL_T_100_110_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,100,110,-105,105,32.60902721,15.41247193,0.947501639,1.26035801,1.224298677,1.144219064
IECZM00HH,RC_SWL_T_110_120_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,110,120,-115,115,32.50519519,15.68639452,3.838004398,8.844964295,0.534686806,0.369774507
IECZM00HI,RC_SWL_T_120_130_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,120,130,-125,125,188.5972367,15.91395756,0.971302931,0.166504128,1.833570031,1.890299479
IECZM00HJ,RC_SWL_T_130_140_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,130,140,-135,135,33.12442079,18.05296121,4.304185952,25.02484396,2.002802833,2.069432972
IECZM00HK,RC_SWL_T_140_150_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,140,150,-145,145,17.26275062,20.02997377,1.147941903,2.303063675,0.107851881,0.079703675
IECZM00HL,RC_SWL_T_150_160_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,150,160,-155,155,116.8460907,21.27532777,1.659990133,4.81619046,0.610908795,0.755907006
IECZM00HM,RC_SWL_T_160_170_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,160,170,-165,165,94.26875844,23.24527233,1.545181523,2.771890752,1.422613989,1.543630587
IECZM00HN,RC_SWL_T_170_180_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,170,180,-175,175,60.60164979,23.516867,1.918427708,4.504384922,0.939577132,0.965979156
IECZM00HO,RC_SWL_T_180_190_20220830,8/30/2022,RC,SW,L,SWL,T,SWLT,180,190,-185,185,1.074923784,27.27872312,1.797101456,11.49879203,1.145148651,1.118985508
