unit_levels,Var_long,var,givenUnit,unitConversionFactor
%,"Microbial biomass P, raw value",mbp_raw,mgP/g,10.0000
g kg-1,"Microbial biomass P, raw value",mbp_raw,mgP/g,1.0000
mg kg-1,"Microbial biomass P, raw value",mbp_raw,mgP/g,0.0010
mg g-1,"Microbial biomass P, raw value",mbp_raw,mgP/g,1.0000
ug g-1,"Microbial biomass P, reported Value After Transformation",mbp_trans,mgP/g,0.0010
%,"Microbial biomass P, reported Value After Transformation",mbp_trans,mgP/g,10.0000
g kg-1,"Microbial biomass P, reported Value After Transformation",mbp_trans,mgP/g,1.0000
mg kg-1,"Microbial biomass P, reported Value After Transformation",mbp_trans,mgP/g,0.0010
mg g-1,"Microbial biomass P, reported Value After Transformation",mbp_trans,mgP/g,1.0000
ug g-1,Extractable Phosphorus_1,p_ex_1,mgP/g,0.0010
%,Extractable Phosphorus_1,p_ex_1,mgP/g,10.0000
g kg-1,Extractable Phosphorus_1,p_ex_1,mgP/g,1.0000
mg kg-1,Extractable Phosphorus_1,p_ex_1,mgP/g,0.0010
mg g-1,Extractable Phosphorus_1,p_ex_1,mgP/g,1.0000
ug g-1,Extractable Phosphorus_2,p_ex_2,mgP/g,0.0010
%,Extractable Phosphorus_2,p_ex_2,mgP/g,10.0000
g kg-1,Extractable Phosphorus_2,p_ex_2,mgP/g,1.0000
mg kg-1,Extractable Phosphorus_2,p_ex_2,mgP/g,0.0010
mg g-1,Extractable Phosphorus_2,p_ex_2,mgP/g,1.0000
ug g-1,Extractable Phosphorus_3,p_ex_3,mgP/g,0.0010
%,Extractable Phosphorus_3,p_ex_3,mgP/g,10.0000
g kg-1,Extractable Phosphorus_3,p_ex_3,mgP/g,1.0000
mg kg-1,Extractable Phosphorus_3,p_ex_3,mgP/g,0.0010
mg g-1,Extractable Phosphorus_3,p_ex_3,mgP/g,1.0000
ug g-1,Extractable Phosphorus_4,p_ex_4,mgP/g,0.0010
%,Extractable Phosphorus_4,p_ex_4,mgP/g,10.0000
g kg-1,Extractable Phosphorus_4,p_ex_4,mgP/g,1.0000
mg kg-1,Extractable Phosphorus_4,p_ex_4,mgP/g,0.0010
mg g-1,Extractable Phosphorus_4,p_ex_4,mgP/g,1.0000
ug g-1,Extractable Phosphorus_5,p_ex_5,mgP/g,0.0010
%,Extractable Phosphorus_5,p_ex_5,mgP/g,10.0000
g kg-1,Extractable Phosphorus_5,p_ex_5,mgP/g,1.0000
mg kg-1,Extractable Phosphorus_5,p_ex_5,mgP/g,0.0010
mg g-1,Extractable Phosphorus_5,p_ex_5,mgP/g,1.0000
mg g-1 d-1,Net N mineralization,n_min,mg / g / d,1.0000
mg kg-1 d-1,Net N mineralization,n_min,mg / g / d,0.0010
ug g-1 d-1,Net N mineralization,n_min,mg / g / d,0.0010
ug g-1,Pyrophosphate Extractable Al,lyr_al_py,mg/g,0.0010
%,Pyrophosphate Extractable Al,lyr_al_py,mg/g,10.0000
g kg-1,Pyrophosphate Extractable Al,lyr_al_py,mg/g,1.0000
mg kg-1,Pyrophosphate Extractable Al,lyr_al_py,mg/g,0.0010
mg g-1,Pyrophosphate Extractable Al,lyr_al_py,mg/g,1.0000
ug g-1,Pyrophosphate Extractable Si,lyr_si_py,mg/g,0.0010
%,Pyrophosphate Extractable Si,lyr_si_py,mg/g,10.0000
g kg-1,Pyrophosphate Extractable Si,lyr_si_py,mg/g,1.0000
mg kg-1,Pyrophosphate Extractable Si,lyr_si_py,mg/g,0.0010
mg g-1,Pyrophosphate Extractable Si,lyr_si_py,mg/g,1.0000
ug g-1,Pyrophosphate Extractable C,lyr_c_py,mg/g,0.0010
%,Pyrophosphate Extractable C,lyr_c_py,mg/g,10.0000
g kg-1,Pyrophosphate Extractable C,lyr_c_py,mg/g,1.0000
mg kg-1,Pyrophosphate Extractable C,lyr_c_py,mg/g,0.0010
mg g-1,Pyrophosphate Extractable C,lyr_c_py,mg/g,1.0000
ug g-1,Oxalate Extractable Fe,lyr_fe_ox,mg/g,0.0010
%,Oxalate Extractable Fe,lyr_fe_ox,mg/g,10.0000
g kg-1,Oxalate Extractable Fe,lyr_fe_ox,mg/g,1.0000
mg kg-1,Oxalate Extractable Fe,lyr_fe_ox,mg/g,0.0010
mg g-1,Oxalate Extractable Fe,lyr_fe_ox,mg/g,1.0000
ug g-1,Oxalate Extractable Al,lyr_al_ox,mg/g,0.0010
%,Oxalate Extractable Al,lyr_al_ox,mg/g,10.0000
g kg-1,Oxalate Extractable Al,lyr_al_ox,mg/g,1.0000
mg kg-1,Oxalate Extractable Al,lyr_al_ox,mg/g,0.0010
mg g-1,Oxalate Extractable Al,lyr_al_ox,mg/g,1.0000
ug g-1,Oxalate Extractable Si,lyr_si_ox,mg/g,0.0010
%,Oxalate Extractable Si,lyr_si_ox,mg/g,10.0000
g kg-1,Oxalate Extractable Si,lyr_si_ox,mg/g,1.0000
mg kg-1,Oxalate Extractable Si,lyr_si_ox,mg/g,0.0010
mg g-1,Oxalate Extractable Si,lyr_si_ox,mg/g,1.0000
ug g-1,Hydroxylamine Extractable Fe,lyr_fe_hy,mg/g,0.0010
%,Hydroxylamine Extractable Fe,lyr_fe_hy,mg/g,10.0000
g kg-1,Hydroxylamine Extractable Fe,lyr_fe_hy,mg/g,1.0000
mg kg-1,Hydroxylamine Extractable Fe,lyr_fe_hy,mg/g,0.0010
mg g-1,Hydroxylamine Extractable Fe,lyr_fe_hy,mg/g,1.0000
ug g-1,Hydroxylamine Extractable Al,lyr_al_hy,mg/g,0.0010
%,Hydroxylamine Extractable Al,lyr_al_hy,mg/g,10.0000
g kg-1,Hydroxylamine Extractable Al,lyr_al_hy,mg/g,1.0000
mg kg-1,Hydroxylamine Extractable Al,lyr_al_hy,mg/g,0.0010
mg g-1,Hydroxylamine Extractable Al,lyr_al_hy,mg/g,1.0000
ug g-1,Hydroxylamine Extractable Si,lyr_si_hy,mg/g,0.0010
%,Hydroxylamine Extractable Si,lyr_si_hy,mg/g,10.0000
g kg-1,Hydroxylamine Extractable Si,lyr_si_hy,mg/g,1.0000
mg kg-1,Hydroxylamine Extractable Si,lyr_si_hy,mg/g,0.0010
mg g-1,Hydroxylamine Extractable Si,lyr_si_hy,mg/g,1.0000
ug g-1,Hydroxylamine Extractable C,lyr_c_hy,mg/g,0.0010
%,Hydroxylamine Extractable C,lyr_c_hy,mg/g,10.0000
g kg-1,Hydroxylamine Extractable C,lyr_c_hy,mg/g,1.0000
mg kg-1,Hydroxylamine Extractable C,lyr_c_hy,mg/g,0.0010
mg g-1,Hydroxylamine Extractable C,lyr_c_hy,mg/g,1.0000
ug g-1,Dithionite Extractable Fe,lyr_fe_dith,mg/g,0.0010
%,Dithionite Extractable Fe,lyr_fe_dith,mg/g,10.0000
g kg-1,Dithionite Extractable Fe,lyr_fe_dith,mg/g,1.0000
mg kg-1,Dithionite Extractable Fe,lyr_fe_dith,mg/g,0.0010
mg g-1,Dithionite Extractable Fe,lyr_fe_dith,mg/g,1.0000
ug g-1,Dithionite Extractable Al,lyr_al_dith,mg/g,0.0010
%,Dithionite Extractable Al,lyr_al_dith,mg/g,10.0000
g kg-1,Dithionite Extractable Al,lyr_al_dith,mg/g,1.0000
mg kg-1,Dithionite Extractable Al,lyr_al_dith,mg/g,0.0010
mg g-1,Dithionite Extractable Al,lyr_al_dith,mg/g,1.0000
ug g-1,Dithionite Extractable Si,lyr_si_dith,mg/g,0.0010
%,Dithionite Extractable Si,lyr_si_dith,mg/g,10.0000
g kg-1,Dithionite Extractable Si,lyr_si_dith,mg/g,1.0000
mg kg-1,Dithionite Extractable Si,lyr_si_dith,mg/g,0.0010
mg g-1,Dithionite Extractable Si,lyr_si_dith,mg/g,1.0000
ug g-1,Alkali Feldspar Abundance,lyr_alkali_feldspar,%,0.0001
%,Alkali Feldspar Abundance,lyr_alkali_feldspar,%,1.0000
g kg-1,Alkali Feldspar Abundance,lyr_alkali_feldspar,%,0.1000
mg kg-1,Alkali Feldspar Abundance,lyr_alkali_feldspar,%,0.0001
mg g-1,Alkali Feldspar Abundance,lyr_alkali_feldspar,%,0.1000
ug g-1,Plagioclase Feldspar Abundance,lyr_plag_feldspar,%,0.0001
%,Plagioclase Feldspar Abundance,lyr_plag_feldspar,%,1.0000
g kg-1,Plagioclase Feldspar Abundance,lyr_plag_feldspar,%,0.1000
mg kg-1,Plagioclase Feldspar Abundance,lyr_plag_feldspar,%,0.0001
mg g-1,Plagioclase Feldspar Abundance,lyr_plag_feldspar,%,0.1000
ug g-1,Mica + Chlorite Abundance,lyr_mica_chlorite,%,0.0001
%,Mica + Chlorite Abundance,lyr_mica_chlorite,%,1.0000
g kg-1,Mica + Chlorite Abundance,lyr_mica_chlorite,%,0.1000
mg kg-1,Mica + Chlorite Abundance,lyr_mica_chlorite,%,0.0001
mg g-1,Mica + Chlorite Abundance,lyr_mica_chlorite,%,0.1000
ug g-1,Amphibole (Hornblende),lyr_amphibole,%,0.0001
%,Amphibole (Hornblende),lyr_amphibole,%,1.0000
g kg-1,Amphibole (Hornblende),lyr_amphibole,%,0.1000
mg kg-1,Amphibole (Hornblende),lyr_amphibole,%,0.0001
mg g-1,Amphibole (Hornblende),lyr_amphibole,%,0.1000
ug g-1,Enstatite + Augite + Diopside,lyr_pyroxine,%,0.0001
%,Enstatite + Augite + Diopside,lyr_pyroxine,%,1.0000
g kg-1,Enstatite + Augite + Diopside,lyr_pyroxine,%,0.1000
mg kg-1,Enstatite + Augite + Diopside,lyr_pyroxine,%,0.0001
mg g-1,Enstatite + Augite + Diopside,lyr_pyroxine,%,0.1000
ug g-1,Olivine Abundance,lyr_olivine,%,0.0001
%,Olivine Abundance,lyr_olivine,%,1.0000
g kg-1,Olivine Abundance,lyr_olivine,%,0.1000
mg kg-1,Olivine Abundance,lyr_olivine,%,0.0001
mg g-1,Olivine Abundance,lyr_olivine,%,0.1000
ug g-1,Volcanic Glass Abundance,lyr_volc_glass,%,0.0001
%,Volcanic Glass Abundance,lyr_volc_glass,%,1.0000
g kg-1,Volcanic Glass Abundance,lyr_volc_glass,%,0.1000
mg kg-1,Volcanic Glass Abundance,lyr_volc_glass,%,0.0001
mg g-1,Volcanic Glass Abundance,lyr_volc_glass,%,0.1000
ug g-1,Kaolinite + Halloysite,lyr_kaol_halloy,%,0.0001
%,Kaolinite + Halloysite,lyr_kaol_halloy,%,1.0000
g kg-1,Kaolinite + Halloysite,lyr_kaol_halloy,%,0.1000
mg kg-1,Kaolinite + Halloysite,lyr_kaol_halloy,%,0.0001
mg g-1,Kaolinite + Halloysite,lyr_kaol_halloy,%,0.1000
ug g-1,Smectite (Montmorillonite) + Vermincullite,lyr_smect_vermic,%,0.0001
%,Smectite (Montmorillonite) + Vermincullite,lyr_smect_vermic,%,1.0000
g kg-1,Smectite (Montmorillonite) + Vermincullite,lyr_smect_vermic,%,0.1000
mg kg-1,Smectite (Montmorillonite) + Vermincullite,lyr_smect_vermic,%,0.0001
mg g-1,Smectite (Montmorillonite) + Vermincullite,lyr_smect_vermic,%,0.1000
ug g-1,Gibbsite Abundance,lyr_gibbsite,%,0.0001
%,Gibbsite Abundance,lyr_gibbsite,%,1.0000
g kg-1,Gibbsite Abundance,lyr_gibbsite,%,0.1000
mg kg-1,Gibbsite Abundance,lyr_gibbsite,%,0.0001
mg g-1,Gibbsite Abundance,lyr_gibbsite,%,0.1000
ug g-1,Goethite + Hematite + Magnetite + Lepidocrocite,lyr_fe_oxides,%,0.0001
%,Goethite + Hematite + Magnetite + Lepidocrocite,lyr_fe_oxides,%,1.0000
g kg-1,Goethite + Hematite + Magnetite + Lepidocrocite,lyr_fe_oxides,%,0.1000
mg kg-1,Goethite + Hematite + Magnetite + Lepidocrocite,lyr_fe_oxides,%,0.0001
mg g-1,Goethite + Hematite + Magnetite + Lepidocrocite,lyr_fe_oxides,%,0.1000
ug g-1,Imogolite + Allophane,lyr_imog_alloph,%,0.0001
%,Imogolite + Allophane,lyr_imog_alloph,%,1.0000
g kg-1,Imogolite + Allophane,lyr_imog_alloph,%,0.1000
mg kg-1,Imogolite + Allophane,lyr_imog_alloph,%,0.0001
mg g-1,Imogolite + Allophane,lyr_imog_alloph,%,0.1000
ug g-1,Ferrihydrite Abundance,lyr_ferrihydrite,%,0.0001
%,Ferrihydrite Abundance,lyr_ferrihydrite,%,1.0000
g kg-1,Ferrihydrite Abundance,lyr_ferrihydrite,%,0.1000
mg kg-1,Ferrihydrite Abundance,lyr_ferrihydrite,%,0.0001
mg g-1,Ferrihydrite Abundance,lyr_ferrihydrite,%,0.1000
mg g-1 d-1,Net N mineralization at water holding capacity,n_min_pot,mg / g / d,1.0000
mg kg-1 d-1,Net N mineralization at water holding capacity,n_min_pot,mg / g / d,0.0010
ug g-1 d-1,Net N mineralization at water holding capacity,n_min_pot,mg / g / d,0.0010
%,Gravimetric water content,grav_water_content,percent,1.0000
g kg-1,Gravimetric water content,grav_water_content,percent,0.1000
mg kg-1,Gravimetric water content,grav_water_content,percent,0.0001
mg g-1,Gravimetric water content,grav_water_content,percent,0.1000
ug g-1,Gravimetric water content,grav_water_content,percent,0.0001
%,Bulk Layer Inorganic Carbon,lyr_sic,percent,1.0000
g kg-1,Bulk Layer Inorganic Carbon,lyr_sic,percent,0.1000
mg kg-1,Bulk Layer Inorganic Carbon,lyr_sic,percent,0.0001
mg g-1,Bulk Layer Inorganic Carbon,lyr_sic,percent,0.1000
ug g-1,Bulk Layer Inorganic Carbon,lyr_sic,percent,0.0001
g m-2,Bulk Layer Inorganic Carbon (CN analyzer) stock,lyr_sic_stock,g C m-2,1.0000
kg m-2,Bulk Layer Inorganic Carbon (CN analyzer) stock,lyr_sic_stock,g C m-2,1000.0000
kg ha-1,Bulk Layer Inorganic Carbon (CN analyzer) stock,lyr_sic_stock,g C m-2,0.1000
gDM m-2,Bulk Layer Inorganic Carbon (CN analyzer) stock,lyr_sic_stock,g C m-2,0.5000
kgDM ha-1,Bulk Layer Inorganic Carbon (CN analyzer) stock,lyr_sic_stock,g C m-2,0.0500
t ha-1,Bulk Layer Inorganic Carbon (CN analyzer) stock,lyr_sic_stock,g C m-2,100.0000
g m-2,Bulk Layer Loss on Ignition Organic Matter Stock,lyr_loi_OM_stock,g C m-2,1.0000
kg m-2,Bulk Layer Loss on Ignition Organic Matter Stock,lyr_loi_OM_stock,g C m-2,1000.0000
kg ha-1,Bulk Layer Loss on Ignition Organic Matter Stock,lyr_loi_OM_stock,g C m-2,0.1000
gDM m-2,Bulk Layer Loss on Ignition Organic Matter Stock,lyr_loi_OM_stock,g C m-2,0.5000
kgDM ha-1,Bulk Layer Loss on Ignition Organic Matter Stock,lyr_loi_OM_stock,g C m-2,0.0500
t ha-1,Bulk Layer Loss on Ignition Organic Matter Stock,lyr_loi_OM_stock,g C m-2,100.0000
